,Unnamed: 0.1,mood,id,title,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1904,1904,calm,55whSVkLeOcEhLaU91DQ8Q,Happy,Leona Lewis,0.492,0.641,0,-5.296,1,0.0448,0.459,0.0,0.0809,0.235,76.07,242093,4
1905,1905,calm,3oEHQmhvFLiE7ZYES0ulzv,"My Heart Will Go On - Love Theme from ""Titanic""",Céline Dion,0.428,0.276,4,-11.729,1,0.0312,0.732,5.33e-06,0.117,0.0382,99.195,280000,1
1906,1906,calm,4GCGH6TJ69neckwITeBFXK,Earth Song,Michael Jackson,0.501,0.439,3,-7.521,0,0.0313,0.482,0.000117,0.087,0.145,138.377,406040,4
1907,1907,calm,34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,0.781,0.445,2,-6.061,1,0.0295,0.474,0.0,0.184,0.591,78.998,281560,4
1908,1908,calm,2TSoLv5tMkqikfpM5irrqZ,Still,Jupiter Jones,0.487,0.666,9,-6.898,1,0.058,0.0378,2.71e-06,0.101,0.67,169.997,237933,4
1909,1909,calm,1VU8t2MpJRLG5iFEIxqq7z,Geboren um zu leben,Unheilig,0.513,0.868,11,-5.061,0,0.041,0.0185,0.0,0.121,0.367,92.009,230467,4
1910,1910,calm,3id2EVGKc3eFAMn9nFnB0r,Love Someone,Lukas Graham,0.538,0.409,9,-6.581,0,0.0505,0.172,0.0,0.11,0.265,171.838,205440,4
1911,1911,calm,5cNrYbEQ6QHj8LwibGk57Z,Ich will nur dass du weißt - Radio Edit,Adel Tawil,0.616,0.69,8,-5.749,1,0.0411,0.529,0.0,0.117,0.452,82.0,201729,4
1912,1912,calm,7JxmTKWt4zsXh4pgiOpdgA,"Applaus, Applaus - Single Version",Sportfreunde Stiller,0.419,0.676,7,-4.988,1,0.0414,0.00478,0.0,0.119,0.425,182.155,187840,4
1913,1913,calm,3B7udSGy2PfgoCniMSb523,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Ed Sheeran,0.581,0.0549,10,-20.514,0,0.0397,0.559,0.0,0.0718,0.234,152.037,300840,4
1914,1914,calm,2Hrf8BSoIjBoVKLDK9QHmx,Stark,Ich + Ich,0.599,0.706,6,-7.686,1,0.0247,0.0448,0.00457,0.367,0.524,140.006,257627,4
1915,1915,calm,3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,241688,4
1916,1916,calm,1M2nd8jNUkkwrc1dgBPTJz,Angels,Robbie Williams,0.429,0.594,4,-6.251,1,0.0277,0.156,4.95e-06,0.1,0.236,150.22,265000,4
1917,1917,calm,5EXddISN5qwNpZUL2uO19J,Mercy,Shawn Mendes,0.555,0.662,11,-4.952,0,0.0827,0.125,0.0,0.111,0.356,148.128,208733,4
1918,1918,calm,3TCauNPqFiniaYHBvEVoHG,Beautiful,Christina Aguilera,0.456,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,238560,4
1919,1919,calm,7llO3oFv7BS1a0ZFDqYeIl,Say (All I Need),OneRepublic,0.548,0.742,9,-5.741,1,0.0498,0.0184,0.0,0.153,0.31,122.007,230573,4
1920,1920,calm,3zol0ettwTIUYLewzrwJqG,Mercy,OneRepublic,0.471,0.849,11,-5.563,1,0.0713,0.015,0.0,0.109,0.196,116.404,240573,4
1921,1921,calm,428lSKYV9R5f5d4XGOeniY,Apologize,OneRepublic,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008,208107,4
1922,1922,calm,44n97yHySt0Z9rqPaXgjCK,Sorry,Halsey,0.513,0.25,5,-9.376,0,0.0367,0.913,0.0,0.117,0.351,74.103,220541,4
1923,1923,calm,65fpYBrI8o2cfrwf2US4gq,Rewrite The Stars,Zendaya,0.684,0.619,10,-7.005,1,0.0386,0.0716,0.0,0.122,0.284,125.046,217440,4
1924,1924,calm,7hDVYcQq6MxkdJGweuCtl9,ocean eyes,Billie Eilish,0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,200379,4
1925,1925,calm,2QZ7WLBE8h2y1Y5Fb8RYbH,In My Blood,Shawn Mendes,0.622,0.712,5,-7.321,1,0.066,0.0573,0.0,0.13,0.487,140.025,211360,4
1926,1926,calm,52MEOYKG8mdKSYmurn4Wrg,love,Lena,0.681,0.265,6,-9.487,1,0.0384,0.846,0.00783,0.113,0.1,111.953,246528,4
1927,1927,calm,6QfS2wq5sSC1xAJCQsTSlj,Shallow - Radio Edit,Bradley Cooper,0.575,0.33,7,-6.557,1,0.031,0.416,0.0,0.0872,0.277,95.801,217213,4
